date,event,venue,setlist
2025-09-20,"【アイドルアラモードプチVol.117】","横浜ランドマークホール","SE;01 始まりの宴;02 SHINY DAYS;03 乙女ロック;04 ぽっぽ♪ポジティブ！！;05 HELLO;MC（2本目）"
2025-09-20,"Killer Tune SHIBUYA 2025 SP LIVE","SHIBUYA CYCLONE","SE;01 乙女ロック;02 推し事〜女の子アイドルオタクあるある〜;03 アタックサイン;04 むげんの☆Lambie;05 SHINY DAYS;06 ろりぽっぷ!!!!!!!;MC（1本目）"
2025-09-21,"ライブ予定","シアターマーキュリー新宿","SE;01 ろりぽっぷ!!!!!!!;02 MY DREAM MY LIFE;03 乙女ロック;04 Say Hello!!;05 始まりの宴;MC"
2025-09-23,"ライブジム 第37弾","新宿DHNoA","SE;01 始まりの宴;02 アタックサイン;03 ぽっぽ♪ポジティブ！！;MC"
2025-09-27,"「はなまるっ Vol.104」","浅草VAMPKIN","00 SE;01 ろりぽっぷ!!!!!!;02 HELLO;MC;03 Say Hello‼︎;04 BLIND CALL;05 むげんの☆Lambie;MC"
2025-09-28,"\\\\\\\\❤️やぎくるみ生誕祭2025❤️///","渋谷CYCLONE","SE;01 始まりの宴;02 アタックサイン;03 MY DREAM MY LIFE;MC;❤️ 「ひとりで生きられそう」って それってねえ、褒めているの？;🍭「メッセージ」;04 MADOROMI;05 乙女ロック;06 ぽっぽ♪ポジティブ！！;07 SHINY DAYS;MC"
2025-10-04,"「ろりぽっぷ!!!!!!!主催ライブVol.2」","アイドルステージ新宿","SE;01 ろりぽっぷ!!!!!!;02 推し事〜女の子アイドルオタクあるある〜;03 むげんの☆Lambie;04 ぽっぽ♪ポジティブ！！;05 始まりの宴;MC"
2025-10-04,"ろりぽっぷ!!!!!!!単独ライブVol.7","アイドルステージ新宿","SE;01 乙女ロック;02 BLIND CALL;MC;03 Unknown🆕;04 アタックサイン;05 SHINY DAYS;06 始まりの宴;07 Unknown🆕;MC"
2025-10-05,"「はなまるっ Vol.106～全組25分SP～」","新宿ZircoTokyo","SE;01 HELLO;02 乙女ロック;03 推し事 ~女の子アイドルオタクあるある~;04 Unknown;05 BLIND CALL;06 ぽっぽ♪ポジティブ！！;MC"
2025-10-05,"浅見怜美主催『REMI♡LAND Vol.1』","新宿HEAD POWER","SE;01 始まりの宴;02 乙女ロック;03 Unknown;MC;04 ぽっぽ♪ポジティブ！！(怜美ちゃんとコラボ);MC"
2025-10-11,"恋咲かれん生誕祭2025","DESEO mini with VV","SE;01 ろりぽっぷ!!!!!!;02 SHINY DAYS;03 ぽっぽ♪ポジティブ！！;04 アタックサイン;05 始まりの宴"
2025-10-12,"【アイドルマリアージュVol.31～全組25分SP～】","WALL&WALL","SE;01 Say Hello‼︎;02 推し事〜女の子アイドルオタクあるある〜;MC;03 Unknown;04 乙女ロック;05 SHINY DAYS;06 ろりぽっぷ!!!!!!!;MC"
2025-10-12,"TOKYO GIRLS GIRLS extra!!","山王ヒルズホール","SE;01 始まりの宴;02 乙女ロック;03 ぽっぽ♪ポジティブ！！;04 ろりぽっぷ!!!!!!"
2025-10-13,"「ABC IDOL」","YOKOHAMA COAST garage+","SE;01 MY DREAM MY LIFE;02 Unknown;03 HELLO;MC;04 乙女ロック;05 ろりぽっぷ!!!!!!!;06 ぽっぽ♪ポジティブ！！;07 始まりの宴;MC"
2025-10-14,"Tool to 杏ゆず子 生誕祭2025","大塚Hearts+","SE;01 ろりぽっぷ!!!!!!!;02 SHINY DAYS;03 Unknown;04 アタックサイン;MC"
2025-10-17,"緊急開催！ろりぽっぷ!!!!!!!ワンコインライブ","S.U.B. TOKYO","SE;01 KAWAIIは正義;02 キミノセイ、🆕;MC;03 Say Hello!!;04 推し事 ~女の子アイドルオタクあるある~;05 Unknown;MC;06 むげんの★ Lambie;07 キミノセイ、;MC"
2025-10-18,"【ポッケからきゅんっふぇす！】","新宿ZircoTokyo","SE;01 始まりの宴;02 HELLO;03 キミノセイ、;04 ぽっぽ♪ポジティブ！！;MC（2本目）"
2025-10-18,"『mi-mi first solo exhibition 『CUTE AGGRESSION』~LONG SET LIVE~』","渋谷 FOWS","SE;01 ろりぽっぷ!!!!!!!;02 BLIND CALL;MC;03 始まりの宴;04 乙女ロック;05 Unknown;06 アタックサイン;MC"
2025-10-19,"虹色幻想曲～プリズム・ファンタジア～北野めぐみ生誕祭","高円寺HIGH","SE;01 MADOROMI;02 MY DREAM MY LIFE;03 Unknown;04 キミノセイ、;MC"
2025-10-19,"行田古墳フェスティバル","さきたま古墳公園","SE;01 始まりの宴;MC;02 MY DREAM MY LIFE;03 ぽっぽ♪ポジティブ！！;04 SHINY DAYS;MC"
2025-10-21,"AOAO主催サーキットフェス\"ブルーセッション EX\"","Star lounge","SE;01 ろりぽっぷ!!!!!!!;MC;02 推し事〜女の子アイドルオタクあるある〜;03 Unknown;04 始まりの宴;MC"
2025-10-25,"ろりぽっぷ!!!!!!!単独ライブVol.9\\\\Halloween🎃LIVE//","アイドルステージ新宿","SE;01 END THE WORLD;MC;02 Unknown;03 MY DREAM MY LIFE;04 MADOROMI;MC;05 END THE WORLD;06 アタックサイン;07 始まりの宴;MC"
2025-10-26,"Killer Tune SHIBUYA 2025 SP FURUKAWA 48 SONIC!!!!!","GARRET udagawa","SE;01 ぽっぽ♪ポジティブ！！;02 推し事;03 キミノセイ、;04 Unknown;05 END THE WORLD;06 MADOROMI;MC"
2025-10-26,"「#ワンミリHalloween🎃」","渋谷音楽堂","01 Unknown;02 キミノセイ、;03 END THE WORLD;MC（1本目）"
2025-11-02,"SAKURA JOURNEY 2025 東名阪ツアー 〜 OSAKA","PLUSWIN HALL大阪","SE;01 キミノセイ、;02 MADOROMI;03 推し事 ~女の子アイドルオタクあるある~;04 SHINY DAYS;MC"
